CEM;Codice Edificio Regione Piemonte;V_PRO;Ente di competenza;Comune;Cod Comune;Stato esistenza edificio;Stato compilazione;Edificio principale;V_USO;Flag Statale;Frazione o Localita`;V_INDIRIZZO;Ente proprietario edificio;Ente proprietario edificio;GRADO;C_SO1;GRA_SO1;DENO SO1;COD_SEDEM_SO1;COD_SEDERP_SO1;C_SO2;GRA_SO2;DENO SO2;COD_SEDEM_SO2;COD_SEDERP_SO2;C_SO3;GRA_SO3;DENO SO3;COD_SEDEM_SO3;COD_SEDERP_SO3;C_SO4;GRA_SO4;DENO SO4;COD_SEDEM_SO4;COD_SEDERP_SO4;C_SO5;GRA_SO5;DENO SO5;COD_SEDEM_SO5;COD_SEDERP_SO5;C_SO6;GRA_SO6;DENO SO6;COD_SEDEM_SO6;COD_SEDERP_SO6
BI000014;0960560001;BI;Comune;Sagliano Micca;096056;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Piazza PIETRO MICCA, 5;04. Comune;Si;PRI-;2;PRI;DI SAGLIANO MICCA;BIEE80004P;0960562001;;;;;;;;;;
BI000015;0960660001;BI;Comune;Tavigliano;096066;Utilizzato per uso scolastico;Attesa Validazione per Modifica;Unico;DIDATTICA;SI;CAPOLUOGO;Via GIOVANNI GALLO, 4;04. Comune;Si;INF-PRI-;1;INF;GRATO MELIGA;BIAA80003C;0960661001;2;PRI;SUOR IMELDA;BIEE80006R;0960662001;;;;;
BI000016;0960680001;BI;Comune;Tollegno;096068;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via A. Gramsci, 140/a;04. Comune;Si;INF-;1;INF;DI TOLLEGNO;BIAA80004D;0960681002;;;;;;;;;;
BI000030;0960040003;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;thess;Via serpentiero, 5;04. Comune;Si;INF-;1;INF;THES VIGNA;BIAA815014;0960041018;;;;;
BI000031;0960040002;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;PIAZZA COSSATO, 4;07. SocietÖ, fondazione o persone private ;Si;INF-;1;INF;T. G. CRIDIS;BIAA815025;0960041026;;;;;
BI000032;0960040007;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;via Belletti Bona, 25;07. SocietÖ, fondazione o persone private ;Si;INF-;1;INF;SERRALUNGA;BIAA81403A;0960041022;;;;;
BI000034;0960040006;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;biella;VICOLO GALEAZZO, 1;04. Comune;Si;INF-;1;INF;RIVA;BIAA814029;0960041013;;;;;
BI000035;0960040040;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;via delle rogge, 23;04. Comune;Si;INF-;1;INF;CERRUTI;BIAA81302D;0960041028;;;;;
BI000036;0960040020;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;via cottolengo, 12;04. Comune;Si;PRI-;2;PRI;FERMI BORGONUOVO;BIEE81301N;0960042021;;;;;
BI000037;0960040009;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;via trivero, 3;04. Comune;Si;INF-;1;INF;VILLAGGIO SPORTIVO;BIAA81301C;0960041023;;;;;
BI000038;0960260003;BI;Comune;Gaglianico;096026;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Capoluogo;Via gramsci, 37;04. Comune;Si;PRI-;2;PRI;.;BIEE80701A;0960262001;;;;;
BI000039;0960040043;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Pavignano;via Bertamellina, 49;04. Comune;Si;INF-;1;INF;PAVIGNANO;BIAA81404B;0960041016;;;;;
BI000040;0960040028;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;SAN GRATO;PIAZZA BEATO DE MOSSO, 2;07. SocietÖ, fondazione o persone private ;Si;INF-;1;INF;P. G. FRASSATI;BIAA815036;0960041005;;;;;
BI000041;0960040042;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;VAGLIO;STRADA CANTONE OSTOCCO, 49/A;04. Comune;Si;INF-;1;INF;SCHNEIDER;BIAA81405C;0960041015;;;;;
BI000042;0960830002;BI;Comune;Zumaglia;096083;Utilizzato per uso scolastico;Validato;No;DIDATTICA;SI;Capoluogo;Via Roma, 9;04. Comune;Si;INF-;1;INF;PIETRO ZUMAGLINI;BIAA81803N;0960831001;;;;;
BI000044;0960490001;BI;Comune;Pralungo;096049;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;FRAZIONE S. EUROSIA;Via A.ROBELLO, 53;04. Comune;Si;INF-;1;INF;ACQUADRO ROBELLO;BIAA80005E;0960491002;;;;;
BI000045;0960490003;BI;Comune;Pralungo;096049;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;Pralungo;Via Roma, 1;04. Comune;Si;PRI-;2;PRI;DI PRALUNGO;BIEE80008V;0960492001;;;;;
BI000046;0960040001;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;biella piazzo;VIA AVOGADRO, 3;06. Enti religiosi;Si;INF-;1;INF;A. F. D. A. ROSMINI SERBATI;BIAA815047;0960041029;;;;;
BI000054;0960590003;BI;Comune;Sandigliano;096059;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Via Edio Maroino, 8;04. Comune;Si;INF-;1;INF;.;BIAA806019;0960591001;;;;;
BI000055;0960760002;BI;Comune;Verrone;096076;Utilizzato per uso scolastico;Attesa Validazione per Modifica;Unico;DIDATTICA;SI;capoluogo;Via Castello, 2;04. Comune;Si;INF-;1;INF;LUIGI  MARANDONO;BIAA80602A;0960761001;;;;;
BI000056;0960120001;BI;Comune;Candelo;096012;Utilizzato per uso scolastico;Attesa Validazione per Modifica;Unico;DIDATTICA;SI;Capoluogo ;Via XXV Aprile, 10;04. Comune;Si;INF-;1;INF;.;BIAA80605D;0960121003;;;;;
BI000058;0960030001;BI;Comune;Benna;096003;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Via Conte O. Gianasso di Pamparato, 13;04. Comune;Si;INF-;1;INF;.;BIAA80604C;0960031002;;;;;
BI000059;0960800002;BI;Comune;Viverone;096080;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;CENTRO;VIA RAG. LUIGI LEBOLE, 25;04. Comune;Si;PRI-;2;PRI;DI VIVERONE;BIEE80104E;0960802001;;;;;
BI000060;0960540002;BI;Comune;Roppolo;096054;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Via Massa, 19;04. Comune;Si;INF-;1;INF;DI ROPPOLO;BIAA801027;0960541003;;;;;
BI000063;0960200008;BI;Comune;Cossato;096020;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;CAPOLUOGO;Via CORRIDONI, 2;04. Comune;Si;PRI-;2;PRI;DI AGLIETTI;BIEE816026;0960202009;;;;;
BI000064;0960150002;BI;Comune;Castelletto Cervo;096015;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;frazione garella;Cantone Fiorio, 16;04. Comune;Si;INF-;1;INF;DI CASTELLETTO CERVO;BIAA81204Q;0960151001;;;;;
BI000065;0960370001;BI;Comune;Mottalciata;096037;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;;Via Martiri della LibertÖ, 27;04. Comune;Si;INF-PRI-;1;INF;DI MOTTALCIATA;BIAA816043;0960371001;2;PRI;DI MOTTALCIATA;BIEE81606A;0960372001
BI000072;0960640001;BI;Comune;Sostegno;096064;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Capoluogo;Via Roma, 7;04. Comune;Si;INF-PRI-;1;INF;DI SOSTEGNO;BIAA802056;0960641001;2;PRI;DI SOSTEGNO;BIEE80205B;0960642002
BI000075;0960070001;BI;Comune;Brusnengo;096007;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Capoluogo;VIALE VERZONE CARLO, 25;04. Comune;Si;INF-;1;INF;DI BRUSNENGO;BIAA81201L;0960071001;;;;;
BI000076;0960320001;BI;Comune;Masserano;096032;Utilizzato per uso scolastico;In Modifica;Sç;DIDATTICA;SI;capoluogo;VIA Collegio, 5;04. Comune;Si;INF-PRI-;1;INF;DI MASSERANO;BIAA81202N;0960321002;2;PRI;DI MASSERANO;BIEE81202V;0960322003
BI000078;0960330002;BI;Comune;Mezzana Mortigliengo;096033;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;SOLIVO SUPERIORE;VIA SOLIVO SUPERIORE, 5;04. Comune;Si;INF-;1;INF;FURNO MARCHESE ERALDO;BIAA81203P;0960331001;;;;;
BI000079;0960650001;BI;Comune;Strona;096065;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Frazione FONTANELLA OZINO, 98;04. Comune;Si;INF-;1;INF;DI STRONA;BIAA80504L;0960651001;;;;;
BI000080;0960280001;BI;Comune;Graglia;096028;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;VIA BOVERI CARLO, 7;04. Comune;Si;INF-;1;INF;DI GRAGLIA;BIAA808011;0960281001;;;;;
BI000081;0960820001;BI;Comune;Zubiena;096082;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;VIA MARTIRI DELLA LIBERTA`, 3;04. Comune;Si;INF-PRI-;1;INF;DI ZUBIENA;BIAA808022;0960821001;2;PRI;DI ZUBIENA;BIEE80806B;0960822003
BI000082;0960350003;BI;Comune;Mongrando;096035;Utilizzato per uso scolastico;Attesa Validazione per Modifica;Unico;DIDATTICA;SI;CURANUOVA;VIA ALLE SCUOLE, 5;04. Comune;Si;INF-;1;INF;CURANUOVA;BIAA808044;0960351003;;;;;
BI000083;0960350005;BI;Comune;Mongrando;096035;Utilizzato per uso scolastico;Attesa Validazione per Modifica;Unico;DIDATTICA;SI;CERESANE;VIA MARCONI, 14;04. Comune;Si;INF-;1;INF;CERESANE;BIAA808033;0960351004;;;;;;;;;;
BI000084;0960060001;BI;Comune;Borriana;096006;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Via Durando nelson, 18;04. Comune;Si;INF-;1;INF;.;BIAA807026;0960061001;;;;;;;;;;
BI000085;0960470002;BI;Comune;Ponderano;096047;Utilizzato per uso scolastico;In compilazione;Sç;DIDATTICA;SI;cAPOLUOGO;VIA GIOSUE` CARDUCCI, 1;04. Comune;Si;INF-;1;INF;SANDRO PERTINI;BIAA807037;0960471001;;;;;;;;;;
BI000087;0960500005;BI;Comune;Pray;096050;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via bartolomeo sella, 74;04. Comune;Si;INF-;1;INF;DI PRAY;BIAA802012;0960501001;;;;;;;;;;
BI000088;0960210001;BI;Comune;Crevacuore;096021;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;VIA GARIBALDI GIUSEPPE, 57;04. Comune;Si;INF-;1;INF;DI CREVACUORE;BIAA802023;0960211002;;;;;;;;;;
BI000094;0960700003;BI;Comune;Trivero;096070;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;frazione RONCO;FRAZIONE RONCO, 4/A;04. Comune;Si;PRI-;2;PRI;DI RONCO;BIEE80402X;0960702009;;;;;;;;;;
BI000095;0960700014;BI;Comune;Trivero;096070;Utilizzato per uso scolastico;Validato;No;DIDATTICA;SI;frazione RONCO;FRAZIONE RONCO, 4/A;04. Comune;Si;SEC 1-;3;SEC 1¯;FALCONE E BORSELLINO;BIMM80401T;0960703001;;;;;;;;;;
BI000096;0960700009;BI;Comune;Trivero;096070;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;frazione Ponzone;FRAZIONE PONZONE, 259/A;04. Comune;Si;PRI-;2;PRI;DI PONZONE;BIEE804031;0960702003;;;;;;;;;;
BI000097;0960750001;BI;Comune;Veglio;096075;Utilizzato per uso scolastico;In Modifica;Sç;DIDATTICA;SI;capoluogo;FRAZIONE BORGO, 48;04. Comune;Si;INF-;1;INF;.;BIAA80301T;0960751002;;;;;;;;;;
BI000098;0960730001;BI;Comune;Valle Mosso;096073;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Via Scuole, 6-8-12;04. Comune;Si;PRI-PRI-SEC 1-;2;PRI;DI FALCERO;BIEE80503R;0960732001;2;PRI;DI VALLE MOSSO;BIEE80501P;0960732003;3;SEC 1;DI VALLE MOSSO;BIMM80501N;0960733001
BI000099;0960730003;BI;Comune;Valle Mosso;096073;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Via Scuole, 4;04. Comune;Si;INF-;1;INF;DI VALLE MOSSO;BIAA80501D;0960731002;;;;;;;;;;
BI000100;0960740001;BI;Comune;Valle San Nicolao;096074;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Chiesa;Frazione Valle San Nicolao, 2;04. Comune;Si;INF-PRI-;1;INF;.;BIAA80303X;0960741001;2;PRI;.;BIEE803057;0960742002;;;;;
BI000101;0960730006;BI;Comune;Valle Mosso;096073;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Piazza Chiesa, 6;04. Comune;Si;INF-PRI-;1;INF;DI CROCEMOSSO;BIAA80503G;0960731004;2;PRI;DI CROCEMOSSO;BIEE80502Q;0960732002;;;;;
BI000102;0960050001;BI;Comune;Bioglio;096005;Utilizzato per uso scolastico;Attesa Validazione per Modifica;Unico;DIDATTICA;SI;CAPOLUOGO;Via VITTORIO EMANUELE II, 38;04. Comune;Si;INF-PRI-;1;INF;.;BIAA80302V;0960051002;2;PRI;.;BIEE803035;0960052001;;;;;
BI000106;0960170001;BI;Comune;Cerreto Castello;096017;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;Capoluogo;Via Roma, 14;04. Comune;Si;INF-;1;INF;DI CERRETO CASTELLO;BIAA81701Q;0960171001;;;;;;;;;;
BI000107;0960430002;BI;Comune;Piatto;096043;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;FRAZIONE CHIESA N¯ 2;SCUOLA MATERNA STATALE, 2;04. Comune;Si;INF-;1;INF;DI PIATTO;BIAA81702R;0960431001;;;;;;;;;;
BI000108;0960770002;BI;Comune;Vigliano Biellese;096077;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;LARGO STAZIONE, 2;04. Comune;Si;INF-;1;INF;DI VIGLIANO BIELLESE;BIAA81801G;0960771003;;;;;
BI000110;0960510001;BI;Comune;Quaregna;096051;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;CAPOLUOGO;Via AVOGADRO, 13;04. Comune;Si;INF-;1;INF;DI QUAREGNA;BIAA81703T;0960511001;;;;;
BI000127;0960020002;BI;Comune;Andorno Micca;096002;Utilizzato per uso scolastico;In Modifica;No;PALESTRA;SI;Capoluogo;PIAZZA UNITA` D`ITALIA , 2;04. Comune;Si;PRI-;2;PRI;DI ANDORNO MICCA;BIEE80001G;0960022003;;;;;
BI000128;0960020003;BI;Comune;Andorno Micca;096002;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Piazza Salvo D`Acquisto, 30;04. Comune;Si;SEC 1-;3;SEC 1¯;SCUOLA SECONDARIA DI I GRADO STATALE XXV APRILE;BIMM80001E;0960023001;;;;;
BI000129;0960110002;BI;Comune;Campiglia Cervo;096011;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;CAPOLUOGO;Piazza DELLA CHIESA, 107;04. Comune;Si;PRI-;2;PRI;DI CAMPIGLIA CERVO;BIEE80003N;0960112001;;;;;
BI000131;0960680003;BI;Comune;Tollegno;096068;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Garibaldi, 9;04. Comune;Si;PRI-;2;PRI;DI TOLLEGNO;BIEE80007T;0960682001;;;;;
BI000145;0960040011;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;via Marucca, 2;04. Comune;Si;PRI-;2;PRI;T. G. CRIDIS;BIEE815019;0960042016;;;;;
BI000146;0960040012;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Via Arnulfo, 8;04. Comune;Si;PRI-;2;PRI;PIETRO MICCA;BIEE81502A;0960042014;;;;;
BI000147;0960040044;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Vandorno;STRADA BARAZZETTO VANDORNO, 130;04. Comune;Si;PRI-;2;PRI;G. CARDUCCI;BIEE81503B;0960042011;;;;;
BI000149;0960040017;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Chiavazza;PIAZZA XXV APRILE, 10;04. Comune;Si;PRI-;2;PRI;XXV APRILE;BIEE81401D;0960042008;;;;;
BI000150;0960040014;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capouogo;via orfanotrofio, 10;04. Comune;Si;PRI-;2;PRI;DE AMICIS;BIEE81402E;0960042015;;;;;
BI000152;0960040041;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;via zara, 20;04. Comune;Si;PRI-;2;PRI;COLLODI;BIEE81303Q;0960042018;;;;;
BI000153;0960040018;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;biella villamarmora;Via Graglia, 2;04. Comune;Si;PRI-;2;PRI;LAMARMORA;BIEE81302P;0960042019;;;;;
BI000154;0960260004;BI;Comune;Gaglianico;096026;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Piazza Avignone, 1;04. Comune;Si;SEC 1-;3;SEC 1¯;F. PETRARCA;BIMM807019;0960263001;;;;;
BI000155;0960040013;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Piazzo;Cucco, 6;04. Comune;Si;PRI-;2;PRI;ADA NEGRI;BIEE81505D;0960042005;;;;;
BI000156;0960040010;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;biella san giovanni;via Santuario d`oropa, 318;04. Comune;Si;PRI-;2;PRI;EX REDENTORISTI;BIEE81504C;0960042004;;;;;
BI000157;0960040016;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Pavignano;Strada Della Barazza, 35;04. Comune;Si;PRI-;2;PRI;MASSIMO SELLA;BIEE81403G;0960042006;;;;;
BI000158;0960040015;BI;Comune;Biella;096004;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;vaglio;via nicodano e sella, 8;04. Comune;Si;PRI-;2;PRI;GIOVANNI PASCOLI;BIEE81404L;0960042007;;;;;
BI000159;0960530001;BI;Comune;Ronco Biellese;096053;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;CAPOLUOGO;Via ROMA, 20;07. SocietÖ, fondazione o persone private ;Si;INF-;1;INF;DI RONCO BIELLESE;BIAA81802L;0960531002;;;;;
BI000160;0960830003;BI;Comune;Zumaglia;096083;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;Capoluogo;Via Roma, 11;04. Comune;Si;PRI-;2;PRI;GIUSEPPE BONA;BIEE81804X;0960832001;;;;;
BI000161;0960490004;BI;Comune;Pralungo;096049;Utilizzato per uso scolastico;Attesa Validazione per Modifica;Sç;DIDATTICA;SI;Pralungo;Via Roma, 10;04. Comune;Si;SEC 1-;3;SEC 1¯;BENEDETTO CROCE;BIMM80002G;0960493004;;;;;
BI000162;0960490005;BI;Comune;Pralungo;096049;Utilizzato per uso scolastico;Attesa Validazione per Modifica;No;DIDATTICA;SI;Pralungo;Via Roma, 1;04. Comune;Si;PRI-;2;PRI;DI PRALUNGO;BIEE80008V;0960492001;;;;;
BI000171;0960030002;BI;Comune;Benna;096003;Utilizzato per uso scolastico;In Modifica;Sç;DIDATTICA;SI;capoluogo;Via Zumaglini, 1;04. Comune;Si;PRI-;2;PRI;.;BIEE80601E;0960032001;;;;;
BI000172;0960120002;BI;Comune;Candelo;096012;Utilizzato per uso scolastico;Attesa Validazione per Modifica;Sç;DIDATTICA;SI;Capoluogo;CORSO LIBERTA`, 103;04. Comune;Si;PRI-;2;PRI;.;BIEE80605P;0960122001;;;;;
BI000173;0960310002;BI;Comune;Massazza;096031;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Massazza;Piazza Don Vigna, 1;04. Comune;Si;INF-;1;INF;.;BIAA80603B;0960311001;;;;;
BI000174;0960590002;BI;Comune;Sandigliano;096059;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Quattro Novembre, 11;04. Comune;Si;PRI-;2;PRI;.;BIEE80603L;0960592001;;;;;
BI000175;0960760001;BI;Comune;Verrone;096076;Utilizzato per uso scolastico;Attesa Validazione per Modifica;Unico;DIDATTICA;SI;capoluogo;Via Via IV novembre, 3;04. Comune;Si;PRI-;2;PRI;CARLO BOCCADELLI;BIEE80604N;0960762001;;;;;
BI000176;0960160002;BI;Comune;Cavaglia`;096016;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Salino, 33;04. Comune;Si;PRI-;2;PRI;DI CAVAGLIA';BIEE80101B;0960162001;;;;;
BI000177;0960180001;BI;Comune;Cerrione;096018;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;VERGNASCO;Via ADUA, 9;04. Comune;Si;PRI-SEC 1-;2;PRI;DI CERRIONE;BIEE80102C;0960182001;3;SEC 1;LA BESSA;BIMM80102B;0960183001
BI000179;0960580003;BI;Comune;Salussola;096058;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Via Bignami, 2;04. Comune;Si;PRI-;2;PRI;DI SALUSSOLA;BIEE80103D;0960582005;;;;;
BI000181;0960800003;BI;Comune;Viverone;096080;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;CAPOLUOGO;Via RAG. LUIGI LEBOLE, 27;04. Comune;Si;INF-;1;INF;DI VIVERONE;BIAA801016;0960801001;;;;;
BI000188;0960200010;BI;Comune;Cossato;096020;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;fraz. parlamento;Via Parlamento, snc;04. Comune;Si;PRI-;2;PRI;DI PARLAMENTO;BIEE816048;0960202006;;;;;
BI000189;0960200005;BI;Comune;Cossato;096020;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;CAPOLUOGO;PIAZZA PACE, 2;04. Comune;Si;SEC 1-;3;SEC 1¯;MAGGIA;BIMM816014;0960203003;;;;;
BI000190;0960150001;BI;Comune;Castelletto Cervo;096015;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via XXV aprile, 80;04. Comune;Si;PRI-;2;PRI;DI CASTELLETTO CERVO;BIEE812041;0960152001;;;;;
BI000198;0960070003;BI;Comune;Brusnengo;096007;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;Capolugo;VIA FORTE, 12;04. Comune;Si;PRI-;2;PRI;DI BRUSNENGO;BIEE81201T;0960072001;;;;;
BI000199;0960320002;BI;Comune;Masserano;096032;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;capoluogo;VIA Collegio, 5;04. Comune;Si;SEC 1-;3;SEC 1¯;A. S. NOVARO;BIMM81202T;0960323001;;;;;
BI000203;0960650002;BI;Comune;Strona;096065;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Frazione Fontanella Ozino, 96;04. Comune;Si;PRI-;2;PRI;SERENA GIBELLO FOGLIO;BIEE80504T;0960652001;;;;;
BI000204;0960240001;BI;Comune;Donato;096024;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;VIA UMBERTO, 4;04. Comune;Si;PRI-;2;PRI;DI DONATO;BIEE808016;0960242002;;;;;
BI000205;0960280002;BI;Comune;Graglia;096028;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;VIA CAMBURZANO, 20;04. Comune;Si;PRI-;2;PRI;DI GRAGLIA;BIEE808027;0960282004;;;;;
BI000207;0960350006;BI;Comune;Mongrando;096035;Utilizzato per uso scolastico;Attesa Validazione per Modifica;Unico;DIDATTICA;SI;curanuova;via alle scuole, 1;04. Comune;Si;PRI-;2;PRI;DI MONGRANDO;BIEE808038;0960352004;;;;;
BI000209;0960390001;BI;Comune;Netro;096039;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;CAPOLUOGO;Via IV NOVEMBRE, 37;04. Comune;Si;PRI-;2;PRI;DI NETRO;BIEE808049;0960392001;;;;;
BI000212;0960060002;BI;Comune;Borriana;096006;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Via Durando Nelson, 23;04. Comune;Si;PRI-;2;PRI;P. G. FRASSATI;BIEE80702B;0960062001;;;;;
BI000213;0960400001;BI;Comune;Occhieppo Inferiore;096040;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;CAPOLUOGO;Via ROMA, 7;04. Comune;Si;SEC 1-;3;SEC 1¯;F. SCHIAPPARELLI;BIMM809011;0960403001;;;;;
BI000214;0960410001;BI;Comune;Occhieppo Superiore;096041;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;PIAZZA VITTORIO  VENETO, 10;07. SocietÖ, fondazione o persone private ;Si;INF-;1;INF;DI OCCHIEPPO SUPERIORE;BIAA80901R;0960411002;;;;;
BI000216;0960470001;BI;Comune;Ponderano;096047;Utilizzato per uso scolastico;In compilazione;Sç;DIDATTICA;SI;CAPOLUOGO;VIA GIOSUE` CARDUCCI, 5;04. Comune;Si;PRI-SEC 1-;2;PRI;SANDRO PERTINI;BIEE80703C;0960472001;3;SEC 1;SANDRO PERTINI;BIMM80702A;0960473001
BI000217;0960630001;BI;Comune;Sordevolo;096063;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;VIA CLEMENTE VERCELLONE, 1;04. Comune;Si;PRI-;2;PRI;E. BONA;BIEE809045;0960632001;;;;;
BI000219;0960190001;BI;Comune;Coggiola;096019;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via garibaldi, 58;04. Comune;Si;PRI-SEC 1-;2;PRI;DI COGGIOLA;BIEE802017;0960192002;3;SEC 1;DI COGGIOLA;BIMM802038;0960193001
BI000220;0960210002;BI;Comune;Crevacuore;096021;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;VIA GARIBALDI GIUSEPPE, 14;04. Comune;Si;PRI-;2;PRI;DI CREVACUORE;BIEE802028;0960212001;;;;;
BI000222;0960480003;BI;Comune;Portula;096048;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;frazione;fraz. boera, 4;07. SocietÖ, fondazione o persone private ;Si;INF-;1;INF;DI PORTULA;BIAA802034;0960481004;;;;;
